;;;;;;;;;;;;;"LP110";"LP130";"500";"501";"502";"503";"504";"505";"506";"507";"508";"LP110";"LP130";"500";"501";"502";"503";"504";"505";"506";"507";"508";"Tags";;;;;;;;;;;;;;;;;;;;;;;;;
"Compound";"Neutral mass (Da)";"m/z";"Charge";"Retention time (min)";"Chromatographic peak width (min)";"Identifications";"Max Fold Change";"Highest Mean";"Lowest Mean";"Isotope Distribution";"Maximum Abundance";"Minimum CV%";"210927C2PHR_B1LP110abcNR";"210927C2PHR_B1LP130abcNR";"210927C2PHR_B1500abcNR";"210927C2PHR_B1501abcNR";"210927C2PHR_B1502abcNR";"210927C2PHR_B1503abcNR";"210927C2PHR_B1504abcNR";"210927C2PHR_B1505abcNR";"210927C2PHR_B1506abcNR";"210927C2PHR_B1507abcNR";"210927C2PHR_B1508abcNR";"210927C2PHR_B1LP110abcNR";"210927C2PHR_B1LP130abcNR";"210927C2PHR_B1500abcNR";"210927C2PHR_B1501abcNR";"210927C2PHR_B1502abcNR";"210927C2PHR_B1503abcNR";"210927C2PHR_B1504abcNR";"210927C2PHR_B1505abcNR";"210927C2PHR_B1506abcNR";"210927C2PHR_B1507abcNR";"210927C2PHR_B1508abcNR";"D0NoQC - Anova p-value <= 0,05";"D0NoQC - Max fold change >= 2";"D0NoQC - Minimum CV >= 30";"D0NoQC - qValue>0.004";"D0NoQC - Power<0.8";"MD - Anova p-value <= 0,05";"MD - Minimum CV >= 30";"MD - Max fold change >= 2";"MD - qValue>0.004";"MD - Power<0.8";"MDNOLP130 - Anova p-value <= 0,05";"MDNOLP130 - Minimum CV >= 30";"MDNOLP130 - Max fold change >= 2";"MDNOLP130 - qValue>0.004";"MDNOLP130 - Power<0.8";"D-MolNet - Not fragmented";"Accepted Compound ID";"Accepted Description";"Adducts";"Formula";"Score";"Fragmentation Score";"Mass Error (ppm)";"Isotope Similarity";"Retention Time Error (mins)";"Compound Link"
"0,65_266,1597m/z";;"266,159698874159";"1";"0,647866666666667";"0,0266666666666667";"0";"1,45690238564687";"505";"LP110";"100 - 0,917";"139,74005497055";"---";"95,9158666683802";"131,854376712745";"119,285799536836";"133,904482905026";"131,025109250305";"104,894481038082";"108,696592878321";"139,74005497055";"117,35702072435";"111,641744241199";"118,476532550386";"80,9925462219649";"135,016180276859";"91,9871922106089";"109,192159302355";"109,595277326968";"96,8365150968002";"94,438897098214";"157,837854560893";"129,308960067796";"133,229065096329";"140,049403429565";"x";;;;;"x";;;;;"x";;;"x";;;;;;;;;;;;
"0,67_380,0949m/z";;"380,094895005762";"1";"0,666916666666667";"0,0314166666666666";"0";"Infinity";"LP110";"502";"100";"49,7943265698743";"---";"49,7943265698743";"43,8104392541884";"42,571619866369";"13,6250474924124";"0";"28,995913101344";"31,7791476803989";"22,4385374703991";"18,1169290756129";"19,6054972126135";"30,0221898012565";"42,0469463122901";"44,8609921932165";"32,8290860653147";"11,1105194091886";"0";"26,7684548223696";"27,6106874942969";"25,3445629068802";"19,9620034994927";"23,3964641285251";"35,4887983367256";"x";"x";;;;;"x";;"x";"x";;"x";;"x";"x";;;;;;;;;;;
"0,76_259,1054n";"259,105412816947";"260,11265947282";"1";"0,755466666666667";"0,0609666666666666";"0";"5,90555814162509";"LP110";"502";"100 - 0,166";"463,295282165166";"---";"463,295282165166";"191,953432515431";"305,469000792594";"142,204618501903";"78,4507189760182";"219,616808905669";"302,606687530329";"272,687345448034";"204,067615978278";"271,354814422117";"344,809015360319";"391,212276535167";"196,556382089061";"235,562286536997";"115,960489298955";"65,619699551265";"202,745904461684";"262,913869406185";"308,003210536116";"224,850384261589";"323,824645347179";"407,593772866466";"x";"x";;;;;;;"x";"x";;;;"x";"x";;;;"M+H-H2O, M+H";;;;;;;
"0,76_321,1149m/z";;"321,114920751581";"1";"0,759316666666667";"0,0457333333333333";"0";"10,5528014454571";"LP130";"503";"100";"119,629264134105";"---";"83,2941477303933";"119,629264134105";"22,9389373720147";"33,8011331968255";"27,429942504105";"11,3362565146722";"13,3666575499269";"39,3137588466382";"54,4422197521216";"65,0958747173296";"48,6712502653088";"70,3346103663683";"122,497915468566";"17,6893515350503";"27,5630706348022";"22,9436340332084";"10,4654083252074";"11,6133575439454";"44,4053020616419";"59,9867547461397";"77,6829723430383";"57,5335842220794";"x";"x";;;;"x";"x";"x";"x";;;;;"x";"x";;;;;;;;;;;
"0,77_136,0620m/z";;"136,06200855085";"1";"0,77455";"0,0533333333333333";"0";"2,32064109102773";"501";"LP130";"100";"236,83486850995";"---";"124,944787604393";"102,055793731147";"217,944442321038";"236,83486850995";"229,900816606421";"208,414982799155";"227,999391334548";"176,53914490987";"175,251903622115";"141,536076271183";"159,033419174226";"105,504926731569";"104,503041827133";"168,067761501052";"193,126549086731";"192,299353138058";"192,404599636682";"198,092787331453";"199,402811774054";"193,100006010763";"168,903838319411";"187,991115212983";"x";"x";;;;"x";;;"x";"x";;;;"x";"x";;;;;;;;;;;
"0,77_261,1210n";"261,12101239898";"262,128202448798";"1";"0,77455";"0,0571499999999999";"0";"1,77117910709781";"504";"506";"100";"593,640788264579";"---";"510,693599656825";"357,504683636404";"510,08092588922";"437,286129197715";"395,106811795654";"536,303904157004";"593,640788264579";"353,575228014091";"335,167000268707";"353,080147812395";"388,393741606904";"431,236003095019";"366,077471367004";"393,348683203884";"356,584153451632";"330,485056339824";"495,105181868606";"515,773124360761";"399,366920439412";"369,301265371987";"421,352589184646";"459,114650276338";"x";;;;;"x";;;;;"x";;;;;;;;"M+H-H2O, M+H";;;;;;;
"0,78_216,1230m/z";;"216,123020390856";"1";"0,77835";"0,0495333333333333";"0";"2,01941612485766";"504";"506";"100 - 0,0593";"261,891322862781";"---";"219,642664499342";"149,300895660413";"213,818657292898";"179,617839149202";"162,766956309218";"223,85898877454";"261,891322862781";"148,472605197077";"129,686655285691";"140,629733247588";"158,625839300636";"185,468987297833";"152,8810582291";"164,886164178682";"146,469029866873";"136,145581701422";"206,662201209138";"227,539125521994";"167,701361433642";"142,894276168207";"167,822242590942";"187,509320912311";"x";;;;;"x";;;;;"x";;;;;;;;;;;;;;;
"0,79_139,0006m/z";;"139,000635245846";"1";"0,785966666666667";"0,0456833333333333";"0";"1";"---";"---";"100";"0";"---";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";;;;"x";;;;;"x";;;;;"x";;;;;;;;;;;;
"1,04_495,9986m/z";;"495,998614982114";"1";"1,03931666666667";"0,0504500000000001";"0";"Infinity";"501";"LP110";"100";"173,879459541769";"---";"0";"79,9315545362106";"129,744008865379";"173,879459541769";"161,894771662853";"12,3693750214593";"0";"34,4205212448988";"0";"0";"0";"0";"81,8482741804007";"100,052035766328";"141,789678984524";"135,416047349223";"11,4191629449853";"0";"38,8783389795248";"0";"0";"0";"x";"x";;;;;"x";;"x";"x";;"x";"x";"x";"x";;;;;;;;;;;
"5,07_455,1520m/z";;"455,151978682413";"1";"5,06695";"0,1118";"0";"2,66001419953006";"LP110";"505";"100 - 10,7";"1096,62808064295";"---";"1096,62808064295";"856,111580675326";"765,313468220728";"654,269650647456";"716,260962788106";"439,794867201272";"505,019159427416";"412,263994995475";"422,852379467707";"532,523431085841";"537,334539835093";"926,006338626549";"876,640718308395";"590,171146741136";"533,522958830766";"599,112790703972";"406,009943285477";"438,775964976033";"465,656496961462";"465,916748002591";"635,493464811656";"635,175423571758";"x";"x";;;;;"x";;"x";"x";"x";;;;;;;;;;;;;;;
"6,48_338,0421n";"338,042106998396";"339,049527753327";"1";"6,47771666666667";"0,0879000000000003";"0";"Infinity";"508";"500";"100";"408,137168066713";"---";"2,76294956706996";"10,9303247392955";"0";"0";"0";"0";"0";"304,814577183195";"382,607857010359";"351,930106494823";"408,137168066713";"2,33306884765545";"11,1924285888547";"0";"0";"0";"0";"0";"344,291255013608";"421,57362038002";"419,980173063744";"482,453070449765";"x";"x";;;;"x";"x";"x";"x";;"x";;"x";;;;;;"M+H, M+Na, M+K";;;;;;;
